date,nav,scheme_code,scheme_name,fund_house,scheme_type,scheme_category,date_parsed,nav_float
01-06-2026,104.70250,119551,SBI_Bluechip,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,2026-06-01,104.7025
01-06-2026,103.09480,120503,ICICI_Bluechip,Axis Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,2026-06-01,103.0948
01-06-2026,97.19440,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2026-06-01,97.1944
01-06-2026,6156.75320,119092,Axis_Bluechip,HDFC Mutual Fund,Open Ended Schemes,Debt Scheme - Money Market Fund,2026-06-01,6156.7532
01-06-2026,246.98140,120841,Kotak_Bluechip,quant Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,2026-06-01,246.9814
